Таблица лексем
+--------------------------------+
|Строка    |Позиция   |Лексема   |
|40        |10        |)         |
|40        |11        |{         |
|41        |1         |r         |
|41        |2         |(         |
|41        |3         |(         |
|41        |4         |i         |
|41        |5         |o         |
|41        |6         |i         |
|41        |7         |)         |
|41        |8         |o         |
|41        |9         |i         |
|41        |10        |(         |
|41        |11        |l         |
|41        |12        |,         |
|41        |13        |l         |
|41        |14        |)         |
|41        |15        |o         |
|41        |16        |i         |
|41        |17        |)         |
|41        |18        |o         |
|41        |19        |l         |
|41        |20        |;         |
|42        |1         |}         |
|43        |1         |f         |
|43        |2         |t         |
|43        |3         |m         |
|43        |4         |(         |
|43        |5         |)         |
|44        |1         |{         |
|46        |1         |t         |
|46        |2         |i         |
|46        |3         |=         |
|46        |4         |i         |
|46        |5         |(         |
|46        |6         |l         |
|46        |7         |)         |
|46        |8         |;         |
|47        |1         |t         |
|47        |2         |i         |
|47        |3         |=         |
|47        |4         |l         |
|47        |5         |o         |
|47        |6         |l         |
|47        |7         |;         |
|48        |1         |t         |
|48        |2         |i         |
|48        |3         |=         |
|48        |4         |i         |
|48        |5         |(         |
|48        |6         |l         |
|48        |7         |)         |
|48        |8         |;         |
|49        |1         |i         |
|49        |2         |=         |
|49        |3         |i         |
|49        |4         |(         |
|49        |5         |i         |
|49        |6         |(         |
|49        |7         |i         |
|49        |8         |)         |
|49        |9         |)         |
|49        |10        |;         |
|50        |1         |i         |
|50        |2         |=         |
|50        |3         |i         |
|50        |4         |(         |
|50        |5         |l         |
|50        |6         |)         |
|50        |7         |;         |
|51        |1         |i         |
|51        |2         |=         |
|51        |3         |i         |
|51        |4         |(         |
|51        |5         |i         |
|51        |6         |(         |
|51        |7         |i         |
|51        |8         |(         |
|51        |9         |l         |
|51        |10        |,         |
|51        |11        |l         |
|51        |12        |)         |
|51        |13        |)         |
|51        |14        |)         |
|51        |15        |;         |
|52        |1         |i         |
|52        |2         |=         |
|52        |3         |i         |
|52        |4         |(         |
|52        |5         |l         |
|52        |6         |)         |
|52        |7         |;         |
|53        |1         |i         |
|53        |2         |=         |
|53        |3         |i         |
|53        |4         |(         |
|53        |5         |i         |
|53        |6         |(         |
|53        |7         |i         |
|53        |8         |(         |
|53        |9         |l         |
|53        |10        |,         |
|53        |11        |l         |
|53        |12        |)         |
|53        |13        |)         |
|53        |14        |)         |
|53        |15        |;         |
|55        |1         |i         |
|55        |2         |=         |
|55        |3         |i         |
|55        |4         |(         |
|55        |5         |l         |
|55        |6         |)         |
|55        |7         |;         |
|56        |1         |i         |
|56        |2         |=         |
|56        |3         |i         |
|56        |4         |(         |
|56        |5         |l         |
|56        |6         |)         |
|56        |7         |;         |
|57        |1         |i         |
|57        |2         |=         |
|57        |3         |i         |
|57        |4         |(         |
|57        |5         |i         |
|57        |6         |(         |
|57        |7         |i         |
|57        |8         |(         |
|57        |9         |l         |
|57        |10        |,         |
|57        |11        |l         |
|57        |12        |)         |
|57        |13        |)         |
|57        |14        |)         |
|57        |15        |;         |
|58        |1         |i         |
|58        |2         |=         |
|58        |3         |i         |
|58        |4         |(         |
|58        |5         |l         |
|58        |6         |)         |
|58        |7         |;         |
|59        |1         |i         |
|59        |2         |=         |
|59        |3         |i         |
|59        |4         |(         |
|59        |5         |i         |
|59        |6         |(         |
|59        |7         |i         |
|59        |8         |(         |
|59        |9         |l         |
|59        |10        |,         |
|59        |11        |l         |
|59        |12        |)         |
|59        |13        |)         |
|59        |14        |)         |
|59        |15        |;         |
|61        |1         |t         |
|61        |2         |i         |
|61        |3         |=         |
|61        |4         |l         |
|61        |5         |;         |
|62        |1         |w         |
|62        |2         |(         |
|62        |3         |i         |
|62        |4         |u         |
|62        |5         |l         |
|62        |6         |)         |
|62        |7         |{         |
|63        |1         |i         |
|63        |2         |=         |
|63        |3         |i         |
|63        |4         |(         |
|63        |5         |i         |
|63        |6         |(         |
|63        |7         |i         |
|63        |8         |)         |
|63        |9         |)         |
|63        |10        |;         |
|64        |1         |i         |
|64        |2         |=         |
|64        |3         |i         |
|64        |4         |o         |
|64        |5         |l         |
|64        |6         |;         |
|65        |1         |}         |
|66        |1         |i         |
|66        |2         |=         |
|66        |3         |i         |
|66        |4         |(         |
|66        |5         |l         |
|66        |6         |)         |
|66        |7         |;         |
|67        |1         |i         |
|67        |2         |=         |
|67        |3         |i         |
|67        |4         |(         |
|67        |5         |l         |
|67        |6         |)         |
|67        |7         |;         |
|68        |1         |i         |
|68        |2         |=         |
|68        |3         |i         |
|68        |4         |(         |
|68        |5         |i         |
|68        |6         |(         |
|68        |7         |i         |
|68        |8         |(         |
|68        |9         |l         |
|68        |10        |,         |
|68        |11        |l         |
|68        |12        |)         |
|68        |13        |)         |
|68        |14        |)         |
|68        |15        |;         |
|69        |1         |i         |
|69        |2         |=         |
|69        |3         |i         |
|69        |4         |(         |
|69        |5         |l         |
|69        |6         |)         |
|69        |7         |;         |
|70        |1         |i         |
|70        |2         |=         |
|70        |3         |i         |
|70        |4         |(         |
|70        |5         |i         |
|70        |6         |(         |
|70        |7         |i         |
|70        |8         |(         |
|70        |9         |l         |
|70        |10        |,         |
|70        |11        |l         |
|70        |12        |)         |
|70        |13        |)         |
|70        |14        |)         |
|70        |15        |;         |
|72        |1         |i         |
|72        |2         |=         |
|72        |3         |i         |
|72        |4         |(         |
|72        |5         |l         |
|72        |6         |)         |
|72        |7         |;         |
|73        |1         |i         |
|73        |2         |=         |
|73        |3         |i         |
|73        |4         |(         |
|73        |5         |l         |
|73        |6         |)         |
|73        |7         |;         |
|74        |1         |i         |
|74        |2         |=         |
|74        |3         |i         |
|74        |4         |(         |
|74        |5         |i         |
|74        |6         |(         |
|74        |7         |i         |
|74        |8         |(         |
|74        |9         |l         |
|74        |10        |,         |
|74        |11        |l         |
|74        |12        |)         |
|74        |13        |)         |
|74        |14        |)         |
|74        |15        |;         |
|75        |1         |i         |
|75        |2         |=         |
|75        |3         |i         |
|75        |4         |(         |
|75        |5         |l         |
|75        |6         |)         |
|75        |7         |;         |
|76        |1         |i         |
|76        |2         |=         |
|76        |3         |i         |
|76        |4         |(         |
|76        |5         |i         |
|76        |6         |(         |
|76        |7         |i         |
|76        |8         |(         |
|76        |9         |l         |
|76        |10        |,         |
|76        |11        |l         |
|76        |12        |)         |
|76        |13        |)         |
|76        |14        |)         |
|76        |15        |;         |
|78        |1         |i         |
|78        |2         |=         |
|78        |3         |i         |
|78        |4         |(         |
|78        |5         |l         |
|78        |6         |)         |
|78        |7         |;         |
|79        |1         |t         |
|79        |2         |i         |
|79        |3         |=         |
|79        |4         |i         |
|79        |5         |(         |
|79        |6         |l         |
|79        |7         |,         |
|79        |8         |l         |
|79        |9         |)         |
|79        |10        |;         |
|80        |1         |i         |
|80        |2         |=         |
|80        |3         |i         |
|80        |4         |(         |
|80        |5         |i         |
|80        |6         |)         |
|80        |7         |;         |
|82        |1         |i         |
|82        |2         |=         |
|82        |3         |i         |
|82        |4         |(         |
|82        |5         |l         |
|82        |6         |)         |
|82        |7         |;         |
|83        |1         |t         |
|83        |2         |i         |
|83        |3         |=         |
|83        |4         |i         |
|83        |5         |(         |
|83        |6         |i         |
|83        |7         |(         |
|83        |8         |l         |
|83        |9         |)         |
|83        |10        |,         |
|83        |11        |i         |
|83        |12        |(         |
|83        |13        |l         |
|83        |14        |)         |
|83        |15        |)         |
|83        |16        |;         |
|84        |1         |i         |
|84        |2         |=         |
|84        |3         |i         |
|84        |4         |(         |
|84        |5         |i         |
|84        |6         |)         |
|84        |7         |;         |
|85        |1         |r         |
|85        |2         |l         |
|85        |3         |;         |
|86        |1         |}         |
+--------------------------------+
